2024-12-05 12:08:30,769 - INFO - hi
2024-12-05 12:08:36,109 - INFO - ====== 76 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/wwes-most-memorable-entrance-themes-from-john-cena-to-stone-cold-steve-austin/articleshow/115936140.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,124 - INFO - ====== 77 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/wwe-gives-subtle-cues-of-dominik-mysterios-removal-from-the-judgment-day/articleshow/115925445.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,134 - INFO - ====== 78 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/roman-reigns-confirms-that-the-rock-will-return-only-under-a-particular-condition/articleshow/115923881.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,141 - INFO - ====== 79 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/nfl/news/nfl-game-tonight-what-to-expect-in-tonights-lions-vs-packers-game/articleshow/115994052.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,159 - INFO - ====== 80 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/nfl/news/jaguars-qb-trevor-lawrence-has-officially-been-placed-on-ir-following-a-violent-hit-by-texans-azeez-al-shaair/articleshow/115990143.cms', 'Title': "Jaguars' QB Trevor Lawrence has officially been placed on IR following a violent hit by Texans Azeez Al-Shaair"}
2024-12-05 12:08:36,169 - ERROR - insert_news() | 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'Chiefs are so dangerous": Tom Brady highlighted the key factor that makes the Ch' at line 1
2024-12-05 12:08:36,169 - INFO - ====== 81 DATA INSERTED ====== {}
2024-12-05 12:08:36,179 - INFO - ====== 82 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/nfl/news/from-controversy-to-change-major-policy-change-looms-as-nfl-seemingly-moves-closer-to-marijuana-legalization-for-players/articleshow/115991032.cms', 'Title': 'From controversy to change: Major policy change looms as NFL seemingly moves closer to Marijuana legalization for players'}
2024-12-05 12:08:36,193 - INFO - ====== 83 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/nfl/news/los-angeles-rams-quarterback-matthew-stafford-was-listed-as-a-full-practice-participant-on-wednesday/articleshow/115990258.cms', 'Title': 'Los Angeles Rams quarterback Matthew Stafford was listed as a full practice participant on Wednesday'}
2024-12-05 12:08:36,199 - INFO - ====== 84 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/nfl/news/aaron-rodgers-believes-that-a-jets-ownership-should-hire-the-right-coach-and-general-manager-for-their-team/articleshow/115990023.cms', 'Title': "Aaron Rodgers believes that Jets' ownership should hire the right coach and general manager for their team"}
